URL,Title,Address
https://newyork.craigslist.org/mnh/egr/d/architectural-interior-design-internship/6771230111.html,Architectural & Interior Design Internship,
https://newyork.craigslist.org/mnh/egr/d/dob-filing-rep-expediter-part-time/6771076782.html,DOB Filing Rep / Expediter Part Time,Chelsea
https://newyork.craigslist.org/brk/egr/d/hiring-architectural-designer-sculptors/6770993739.html,"Hiring Architectural Designer, Sculptors, Clay Modelers",Brooklyn
https://newyork.craigslist.org/mnh/egr/d/project-architect/6770938515.html,Project Architect,NEW YORK
https://newyork.craigslist.org/mnh/egr/d/architectural-project-manager/6770902962.html,Architectural Project Manager,Midtown West
https://newyork.craigslist.org/mnh/egr/d/testing-and-balancing-tab-technician/6770543051.html,Testing and Balancing (TAB) Technician,Battery Park
https://newyork.craigslist.org/wch/egr/d/inside-sales-engineering-role-salary/6770384902.html,Inside Sales Engineering Role (Salary/Full-Time),Lower Westchester
https://newyork.craigslist.org/brk/egr/d/nyc-dob-expediters-seeking-class-2/6770352294.html,NYC DOB Expediters Seeking Class 2 Filing Rep,All Boroughs
https://newyork.craigslist.org/brk/egr/d/hiring-an-intermediate-senior-interior/6770158761.html,Hiring an Intermediate/Senior Interior Designer,"Brooklyn, New York"
https://newyork.craigslist.org/mnh/egr/d/restaurant-interior-design/6770154420.html,Restaurant Interior Design,New York
https://newyork.craigslist.org/lgi/egr/d/mechanical-engineer/6770121402.html,Mechanical Engineer,Hicksville
https://newyork.craigslist.org/stn/egr/d/math-specialist/6770100492.html,MATH Specialist,
https://newyork.craigslist.org/lgi/egr/d/kitchen-designer-wanted/6770062399.html,Kitchen Designer Wanted!,
https://newyork.craigslist.org/mnh/egr/d/stone-project-manager-senior-position/6770003884.html,Stone Project Manager - Senior Position,
https://newyork.craigslist.org/mnh/egr/d/stone-jr-estimator/6770003576.html,Stone Jr Estimator,
https://newyork.craigslist.org/mnh/egr/d/junior-architect-with-purchasing/6769987876.html,Junior Architect with Purchasing Experience,Midtown West
https://newyork.craigslist.org/que/egr/d/project-architects/6769978106.html,Project Architect(s),"Jamaica, Queens"
https://newyork.craigslist.org/que/egr/d/structural-engineer-3-5-yrs-exp/6769659241.html,Structural Engineer (3-5 yrs Exp.),Queens
https://newyork.craigslist.org/que/egr/d/construction-project-manager-foreman/6769644305.html,Construction Project Manager/Foreman-Bilingual in Chinese,Queens
https://newyork.craigslist.org/mnh/egr/d/electrical-engineer/6769566326.html,Electrical Engineer,Midtown
https://newyork.craigslist.org/que/egr/d/project-architect-manager/6769532128.html,Project Architect/Manager,Bayside
https://newyork.craigslist.org/mnh/egr/d/superintendent-heavy-construction/6769362692.html,Superintendent - Heavy Construction,New York
https://newyork.craigslist.org/brk/egr/d/architectural-drafting-person/6769344609.html,Architectural  drafting person,
https://newyork.craigslist.org/que/egr/d/autocad-person-wanted-for-immediate-hire/6769263038.html,Autocad person wanted for immediate hire!!!,College point
https://newyork.craigslist.org/mnh/egr/d/floor-plan-measurer-as-built-drawings/6769218227.html,Floor Plan Measurer: AS-BUILT Drawings $50/hr,"New York, NY"
https://newyork.craigslist.org/lgi/egr/d/bookkeeper/6769080299.html,BOOKKEEPER,MELVILLE
https://newyork.craigslist.org/brk/egr/d/project-manager-data-entry/6769015222.html,Project Manager/Data Entry,Brooklyn
https://newyork.craigslist.org/brk/egr/d/project-architect-construction-company/6768548132.html,Project Architect - Construction Company,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/mechanical-electrical-plumbing-and-fire/6768224161.html,"Mechanical, Electrical, Plumbing and Fire Protection Interns needed",Financial District
https://newyork.craigslist.org/que/egr/d/architect-senior-designer/6768171542.html,ARCHITECT Senior/Designer,QUEENS
https://newyork.craigslist.org/mnh/egr/d/interior-designer-available-for/6768011555.html,"Interior Designer Available for Architects, Designers and Developers",
https://newyork.craigslist.org/mnh/egr/d/aci-technician/6767476083.html,ACI Technician,"NY, NY"
https://newyork.craigslist.org/que/egr/d/civil-engineer/6767469906.html,Civil Engineer,"NY, NY"
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6767381575.html,Facade / Building Envelope Structural Engineer,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/6767379367.html,Facade / Building Envelope Architect,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6767377934.html,Facade / Building Envelope Structural Project Engineer,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project/6767376189.html,Facade / Building Envelope Project Architect,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/construction-estimating-admin-jr/6767286210.html,Construction Estimating Admin/Jr. Estimator,Midtown West
https://newyork.craigslist.org/mnh/egr/d/architectural-draftperson-assistant/6766969059.html,Architectural Draftperson & Assistant,Chinatown / Lit Italy
